id,year,decade,dimensions,medium,provenance,title,url,country,creditline,designer,designer_id,designer_url,designer_gender,image_b,image_s,css4_colors,color,area,y
18446703,1934.0,1930.0,100 × 62.5 cm (39 3/8 × 24 5/8 in.),lithograph on paper mounted on board,"Marion Dorn Kauffer, New York, NY; 1963: acquired by Museum","Visit Your Museums, Natural History Museum",https://collection.cooperhewitt.org/objects/18446703/,United States,Gift of Mrs. E. McKnight Kauffer,Edward McKnight Kauffer,18041923,https://collection.cooperhewitt.org/people/18041923/,Boy,https://images.collection.cooperhewitt.org/65798_8a31ef7407bfe9ab_b.jpg,https://images.collection.cooperhewitt.org/65798_8a31ef7407bfe9ab_sq.jpg,"['#483d8b', '#8b4513', '#d2b48c', '#2f4f4f', '#cd853f']",#483d8b,6250.0,1
18446727,1931.0,1930.0,102 × 64.1 cm (40 3/16 × 25 1/4 in.),offset lithograph on paper mounted on board,"Marion Dorn Kauffer, New York, NY; 1963: acquired by Museum",Travel in Comfort By Imperial Airways,https://collection.cooperhewitt.org/objects/18446727/,United Kingdom,Gift of Mrs. E. McKnight Kauffer,Edward McKnight Kauffer,18041923,https://collection.cooperhewitt.org/people/18041923/,Boy,https://images.collection.cooperhewitt.org/65108_bdc5611c1d4906de_b.jpg,https://images.collection.cooperhewitt.org/65108_bdc5611c1d4906de_sq.jpg,"['#c0c0c0', '#778899', '#2f4f4f', '#708090', '#a9a9a9']",#c0c0c0,6538.2,1
18446771,1932.0,1930.0,76.5 × 51 cm (30 1/8 × 20 1/16 in.),offset lithograph on paper,"Marion Dorn Kauffer, New York, NY; 1963: acquired by Museum",Lewis Carroll Centenary,https://collection.cooperhewitt.org/objects/18446771/,United Kingdom,Gift of Mrs. E. McKnight Kauffer,Edward McKnight Kauffer,18041923,https://collection.cooperhewitt.org/people/18041923/,Boy,https://images.collection.cooperhewitt.org/64307_caf990c22faa212a_b.jpg,https://images.collection.cooperhewitt.org/64307_caf990c22faa212a_sq.jpg,"['#a9a9a9', '#2f4f4f', '#a9a9a9', '#808080', '#696969']",#a9a9a9,3901.5,1
18446793,1939.0,1930.0,75.8 × 50.7 cm (29 13/16 × 19 15/16 in.),"offset lithograph on paper, lined","Marion Dorn Kauffer, New York, NY; 1963: acquired by Museum",Festival of Music for the People,https://collection.cooperhewitt.org/objects/18446793/,United Kingdom,Gift of Mrs. E. McKnight Kauffer,Edward McKnight Kauffer,18041923,https://collection.cooperhewitt.org/people/18041923/,Boy,https://images.collection.cooperhewitt.org/64308_dd9b570f9410c6f0_b.jpg,https://images.collection.cooperhewitt.org/64308_dd9b570f9410c6f0_sq.jpg,"['#a0522d', '#696969', '#bc8f8f', '#2f4f4f']",#a0522d,3843.06,1
18446845,1939.0,1930.0,43 × 50.8 cm (16 15/16 × 20 in.),"offset lithograph on paper, lined","Marion Dorn Kauffer, New York, NY; 1963: acquired by Museum",London Music Festival,https://collection.cooperhewitt.org/objects/18446845/,United Kingdom,Gift of Mrs. E. McKnight Kauffer,Edward McKnight Kauffer,18041923,https://collection.cooperhewitt.org/people/18041923/,Boy,https://images.collection.cooperhewitt.org/64309_5c521eb5d4f05137_b.jpg,https://images.collection.cooperhewitt.org/64309_5c521eb5d4f05137_sq.jpg,"['#a0522d', '#daa520', '#2f4f4f']",#a0522d,2184.4,2
18446867,1937.0,1930.0,75.6 × 50.2 cm (29 3/4 × 19 3/4 in.),offset lithograph on paper,"Marion Dorn Kauffer, New York, NY; 1963: acquired by Museum",Help Wounded Human Beings,https://collection.cooperhewitt.org/objects/18446867/,United Kingdom,Gift of Mrs. E. McKnight Kauffer,Edward McKnight Kauffer,18041923,https://collection.cooperhewitt.org/people/18041923/,Boy,https://images.collection.cooperhewitt.org/64940_6339ec171d5ae27e_b.jpg,https://images.collection.cooperhewitt.org/64940_6339ec171d5ae27e_sq.jpg,"['#f5deb3', '#808080', '#d2691e', '#696969', '#bdb76b']",#f5deb3,3795.12,1
18446889,1938.0,1930.0,76 × 50.9 cm (29 15/16 × 20 1/16 in.),"screenprint on paper, lined","Marion Dorn Kauffer, New York, NY; 1963: acquired by Museum",International Brigade,https://collection.cooperhewitt.org/objects/18446889/,United Kingdom,Gift of Mrs. E. McKnight Kauffer,Edward McKnight Kauffer,18041923,https://collection.cooperhewitt.org/people/18041923/,Boy,https://images.collection.cooperhewitt.org/64310_c9c5917bc1a50011_b.jpg,https://images.collection.cooperhewitt.org/64310_c9c5917bc1a50011_sq.jpg,"['#5f9ea0', '#cd853f', '#d2691e', '#f0e68c', '#696969']",#5f9ea0,3868.4,1
18446933,1910.0,1910.0,76.7 x 50.7 cm (30 3/16 x 19 15/16 in.),"offset lithograph on paper, lined",Mrs. E. McKnight Kauffer; 1963: acquired by Museum,Guns By Wyndham Lewis,https://collection.cooperhewitt.org/objects/18446933/,United Kingdom,Gift of Mrs. E. McKnight Kauffer,,,,,https://images.collection.cooperhewitt.org/64289_7161b20f971b5aec_b.jpg,https://images.collection.cooperhewitt.org/64289_7161b20f971b5aec_sq.jpg,"['#2f4f4f', '#808080', '#556b2f']",#2f4f4f,3888.6900000000005,1
18446959,1938.0,1930.0,61 × 45.5 cm (24 × 17 15/16 in.),lithograph on white wove paper,"Marion Dorn Kauffer, New York, NY; 1963: acquired by Museum",Help a Greek Child to Survive,https://collection.cooperhewitt.org/objects/18446959/,United States,Gift of Mrs. E. McKnight Kauffer,Edward McKnight Kauffer,18041923,https://collection.cooperhewitt.org/people/18041923/,Boy,https://images.collection.cooperhewitt.org/65799_eac3b84b4cab0d3f_b.jpg,https://images.collection.cooperhewitt.org/65799_eac3b84b4cab0d3f_sq.jpg,"['#2f4f4f', '#556b2f', '#dcdcdc', '#a9a9a9', '#808080']",#2f4f4f,2775.5,2
18446985,1942.0,1940.0,50.7 × 36.6 cm (19 15/16 × 14 7/16 in.),"offset lithograph on paper, lined","Marion Dorn Kauffer, New York, NY; 1963: acquired by Museum",Luchamos por la Libertad de Todos (We Fight for the Freedom of All),https://collection.cooperhewitt.org/objects/18446985/,United States,Gift of Mrs. E. McKnight Kauffer,Edward McKnight Kauffer,18041923,https://collection.cooperhewitt.org/people/18041923/,Boy,https://images.collection.cooperhewitt.org/64311_40b15f26fcf0fb1c_b.jpg,https://images.collection.cooperhewitt.org/64311_40b15f26fcf0fb1c_sq.jpg,"['#191970', '#a0522d', '#bc8f8f', '#2f4f4f', '#000000']",#191970,1855.6200000000001,1
